dataset,method,group,coverage_mean,coverage_sd,mean_width
cps_wage,SR-TI,1,0.877900410677618,0.0118301885462066,22.4628615754573
cps_wage,SR-TI,2,0.90562114989733,0.00914105987293403,28.7018866754151
cps_wage,SR-TI,3,0.916786447638604,0.0073034421656088,33.3914799331422
cps_wage,SR-TI,4,0.925847022587269,0.00815504362113582,42.0280916098752
cps_wage,SR-TI,5,0.946610169491525,0.00524702495616715,59.3037406650968
cps_wage,ASR-TI,1,0.87864476386037,0.0121153102844975,22.6935567527454
cps_wage,ASR-TI,2,0.904953798767967,0.0091985366370398,29.0268940831971
cps_wage,ASR-TI,3,0.916709445585215,0.00764121465227707,33.8031685712907
cps_wage,ASR-TI,4,0.925847022587269,0.00843593331944178,42.5871667422569
cps_wage,ASR-TI,5,0.946944016435542,0.00468396106879392,60.2757965147582
cps_wage,CQR-TI,1,0.908829568788501,0.00770722688618772,26.2784709707334
cps_wage,CQR-TI,2,0.913475359342916,0.00800571050785379,30.7257398679403
cps_wage,CQR-TI,3,0.913963039014374,0.00642984739778861,34.1843064940558
cps_wage,CQR-TI,4,0.916170431211499,0.00704476568489757,41.4532752688628
cps_wage,CQR-TI,5,0.915870570107858,0.007693520257033,48.9604102458051
cps_wage,Parametric-TI,1,0.945302874743327,0.0119215179085569,31.9419721212817
cps_wage,Parametric-TI,2,0.943172484599589,0.00985910497045992,36.0375146072004
cps_wage,Parametric-TI,3,0.939758726899384,0.0110015920710543,38.8939849706324
cps_wage,Parametric-TI,4,0.931339835728953,0.0142719170340303,43.8597243396899
cps_wage,Parametric-TI,5,0.920364663585003,0.0124938816476406,48.1119256579894
superconductivity,SR-TI,1,0.804478138222849,0.0520434717573678,11.688567300099
superconductivity,SR-TI,2,0.952679830747532,0.0190442016624309,22.8173633037602
superconductivity,SR-TI,3,0.946897038081805,0.0165152440597244,39.183078056098
superconductivity,SR-TI,4,0.932122708039492,0.0213252314122351,58.8065594855949
superconductivity,SR-TI,5,0.949364855328158,0.020670159172873,80.5685651289858
superconductivity,ASR-TI,1,0.804654442877292,0.052976696119423,11.6629043507767
superconductivity,ASR-TI,2,0.952009873060649,0.0188488167974981,22.7662439447434
superconductivity,ASR-TI,3,0.947002820874471,0.0169966619314689,39.1245348045212
superconductivity,ASR-TI,4,0.933074753173484,0.0215778459162361,58.774634524291
superconductivity,ASR-TI,5,0.948835568101623,0.0224110618784169,80.5272926539379
superconductivity,CQR-TI,1,0.94305359661495,0.0102090178472456,13.66406612064
superconductivity,CQR-TI,2,0.929901269393512,0.0107498520131059,23.4652356895784
superconductivity,CQR-TI,3,0.921156558533145,0.00943823322742925,44.9912116622378
superconductivity,CQR-TI,4,0.906946403385049,0.0140196307377066,69.5685266177237
superconductivity,CQR-TI,5,0.88454481298518,0.0113641201209554,78.2376748068634
superconductivity,Parametric-TI,1,0.999118476727786,0.000967353019814649,28.9785799626102
superconductivity,Parametric-TI,2,0.991995768688293,0.00359792471577292,34.0982727027929
superconductivity,Parametric-TI,3,0.961459802538787,0.00761703120634235,41.9635929247301
superconductivity,Parametric-TI,4,0.859449929478138,0.0199322857334378,45.6487573883486
superconductivity,Parametric-TI,5,0.72484121383204,0.0197705333016547,46.3686568912274
meps_expenditure,SR-TI,1,0.872701149425287,0.0355690027400992,82200.6082212528
meps_expenditure,SR-TI,2,0.899281609195402,0.0117406334168904,79652.3316804814
meps_expenditure,SR-TI,3,0.902921455938697,0.0175914885260606,73681.5889141977
meps_expenditure,SR-TI,4,0.944013409961686,0.0130688436141109,79773.5025751757
meps_expenditure,SR-TI,5,0.980699233716475,0.00896004226981684,88711.6346916711
meps_expenditure,ASR-TI,1,0.863697318007663,0.0323141491795333,61314.3782191945
meps_expenditure,ASR-TI,2,0.897605363984675,0.0111569968518368,55837.9524906511
meps_expenditure,ASR-TI,3,0.91786398467433,0.0121989205604385,51080.908899267
meps_expenditure,ASR-TI,4,0.951053639846743,0.0111179756419997,53510.2040296068
meps_expenditure,ASR-TI,5,0.974137931034483,0.0128133343689643,58966.2971874815
meps_expenditure,CQR-TI,1,0.910871647509578,0.0138439657045681,29918.7088041263
meps_expenditure,CQR-TI,2,0.911494252873563,0.0115336757561174,12684.2035817584
meps_expenditure,CQR-TI,3,0.919348659003831,0.0103425867484061,9473.1136624793
meps_expenditure,CQR-TI,4,0.921934865900383,0.0133540302194276,8727.86971086302
meps_expenditure,CQR-TI,5,0.936111111111111,0.0109128163744261,7514.87241403371
meps_expenditure,Parametric-TI,1,0.964080459770115,0.00785883142517124,386868.965459889
meps_expenditure,Parametric-TI,2,0.899856321839081,0.0134763251452325,87056.0783796424
meps_expenditure,Parametric-TI,3,0.858620689655172,0.0141916333806257,45598.2701906054
