dataset,dataset_label,method,repetitions,coverage_mean,coverage_sd,coverage_min,pac_success_rate,mean_width,median_width,q90_width,lower_miss,upper_miss
cps_wage,CPS 2012 hourly wage,SR-TI,20,0.914549748434131,0.00397839552079406,0.90686928842797,1,37.1753401820968,31.7635705612116,63.1720909568045,0.0438083992196324,0.0416418523462368
cps_wage,CPS 2012 hourly wage,ASR-TI,20,0.914616490399425,0.00400562285640499,0.907690728000821,1,37.6749961221317,32.1493021828871,64.1327983140475,0.0453434644213985,0.0400400451791765
cps_wage,CPS 2012 hourly wage,CQR-TI,20,0.913661566895985,0.00307539995417035,0.906355888694938,1,36.319142698068,30.071088960809,60.0620378039472,0.0444706848752439,0.0418677482287709
cps_wage,CPS 2012 hourly wage,Parametric-TI,20,0.935989321285553,0.010632961269346,0.919909641646986,1,39.7681676906968,36.7094400949757,59.6552078391604,0.0336430845055961,0.030367594208851
superconductivity,Superconductivity critical temperature,SR-TI,20,0.917103963887713,0.00567461522583072,0.90224291155311,1,42.6074724810503,38.3666627747058,78.6080764496625,0.0442234447735929,0.0386725913386938
superconductivity,Superconductivity critical temperature,ASR-TI,20,0.917111017068698,0.00572150761254564,0.902383975172803,1,42.5657678208398,38.2310641702188,78.5789090591922,0.0438214134574693,0.0390675694738327
superconductivity,Superconductivity critical temperature,CQR-TI,20,0.917125123430667,0.00458071104043295,0.909296092537734,1,45.9807933487376,39.322396388481,79.9776411767939,0.036923402454507,0.0459514741148258
superconductivity,Superconductivity critical temperature,Parametric-TI,20,0.907398786852871,0.00811272033409638,0.893779094371562,0.8,39.4105905823609,44.7921928780084,46.5765886108113,0.0539709408943434,0.038630272252786
meps_expenditure,MEPS 2016 total medical expenditure,SR-TI,20,0.91992337164751,0.00558554878670565,0.910919540229885,1,80803.9332165557,34395.786270325,179317.322331314,0.0646934865900383,0.0153831417624521
meps_expenditure,MEPS 2016 total medical expenditure,ASR-TI,20,0.920871647509579,0.00655611393888377,0.910727969348659,1,56141.9481652401,23495.2072134273,125895.363604553,0.0519348659003832,0.0271934865900383
meps_expenditure,MEPS 2016 total medical expenditure,CQR-TI,20,0.919952107279694,0.00451173025842995,0.912452107279693,1,13663.7536346521,7846.24434107149,29986.0509804535,0.0229022988505747,0.0571455938697318
meps_expenditure,MEPS 2016 total medical expenditure,Parametric-TI,20,0.884051724137931,0.00874799572093256,0.872222222222222,0.05,113044.330028127,21884.7629473492,313209.941153163,0.0955938697318008,0.0203544061302682
meps_utilization,MEPS 2016 health-care utilization (sensitivity),SR-TI,20,0.919798850574713,0.00408151050549104,0.913026819923372,1,31.1969637436898,11.4615326795493,61.3531970838665,0.0200287356321839,0.0601724137931034
meps_utilization,MEPS 2016 health-care utilization (sensitivity),ASR-TI,20,0.919645593869732,0.00542538070573633,0.911494252873563,1,34.4628555204166,12.3406070148163,67.0169113729112,0.0264176245210728,0.0539367816091954
meps_utilization,MEPS 2016 health-care utilization (sensitivity),CQR-TI,20,0.932691570881226,0.00436507123752126,0.923563218390805,1,25.9794547045227,12.1231209025169,48.1225151490897,0.0085632183908046,0.0587452107279693
meps_utilization,MEPS 2016 health-care utilization (sensitivity),Parametric-TI,20,0.922049808429119,0.00511548817265253,0.910536398467433,1,21.2968492487385,12.7282150836732,45.3591099200791,0.0215229885057471,0.0564272030651341
