dataset,dataset_label,repetition,method,n_train,n_cal,n_eval,lambda,gamma,coverage,mean_width,median_width,q90_width,lower_miss,upper_miss,asr_a_minus,asr_a_plus
cps_wage,CPS 2012 hourly wage,1,SR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.912414005544717,36.8626873720923,32.0441757479768,62.3069717312295,0.0460006160796796,0.0415853783756032,1.12034307126663,1.10686524895307
cps_wage,CPS 2012 hourly wage,1,ASR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.912722045384536,36.72592986685,31.9446684589021,62.0967864516212,0.0452818564534347,0.041996098162029,1.12034307126663,1.10686524895307
cps_wage,CPS 2012 hourly wage,1,CQR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.913132765170962,35.8650216301773,29.3737881763219,57.9191215769785,0.0429202176814868,0.0439470171475511,1.12034307126663,1.10686524895307
cps_wage,CPS 2012 hourly wage,1,Parametric-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.948865386589999,44.0504081450175,40.7081729662911,65.9137603632718,0.0283396652633741,0.022794948146627,1.12034307126663,1.10686524895307
cps_wage,CPS 2012 hourly wage,2,SR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.919396241913954,36.9834173946224,31.9033537036781,63.5567839661969,0.039121059657049,0.0414826984289968,1.16576829308787,1.24640633422479
cps_wage,CPS 2012 hourly wage,2,ASR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.917239963035219,37.7200311433738,32.467175797703,64.8435650960311,0.0440496970941575,0.0387103398706233,1.16576829308787,1.24640633422479
cps_wage,CPS 2012 hourly wage,2,CQR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.917958722661464,36.2363578771987,29.3704310944984,59.8849286238123,0.0392237396036554,0.0428175377348804,1.16576829308787,1.24640633422479
cps_wage,CPS 2012 hourly wage,2,Parametric-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.9313071157203,37.5462348425074,34.4279608650599,56.3784389902534,0.0334736625936955,0.0352192216860047,1.16576829308787,1.24640633422479
cps_wage,CPS 2012 hourly wage,3,SR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.909949686826163,36.5543266577364,32.471359116218,62.501342507554,0.0471300954923504,0.0429202176814868,1.1695628525825,1.15369583556582
cps_wage,CPS 2012 hourly wage,3,ASR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.909641646986343,36.2763031865276,32.2134042341406,61.990057117214,0.0467193757059246,0.0436389773077318,1.1695628525825,1.15369583556582
cps_wage,CPS 2012 hourly wage,3,CQR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.908717527466886,36.1435956356052,30.5207205754874,59.8066644280932,0.0477461751719889,0.0435362973611254,1.1695628525825,1.15369583556582
cps_wage,CPS 2012 hourly wage,3,Parametric-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.936441113050621,40.2594626973551,37.4597486995837,59.4295098888014,0.0332683027004826,0.0302905842488962,1.1695628525825,1.15369583556582
cps_wage,CPS 2012 hourly wage,4,SR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.918574802341103,38.4937625297268,30.4946244132784,68.4290233589957,0.0446657767737961,0.0367594208851011,1.17375808299647,1.20290155686664
cps_wage,CPS 2012 hourly wage,4,ASR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.918266762501283,38.8222283557117,30.705027139188,69.0831549211696,0.0457952561864668,0.0359379813122497,1.17375808299647,1.20290155686664
cps_wage,CPS 2012 hourly wage,4,CQR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.916623883355581,37.1913033425092,30.2577101622371,63.9640559571663,0.0450764965602218,0.0382996200841976,1.17375808299647,1.20290155686664
cps_wage,CPS 2012 hourly wage,4,Parametric-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.919909641646986,35.4682343285635,32.5812837928292,52.9825989324264,0.0444604168805832,0.0356299414724304,1.17375808299647,1.20290155686664
cps_wage,CPS 2012 hourly wage,5,SR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.915597083889516,37.7699613928897,32.7400820078116,59.1565089062985,0.0439470171475511,0.0404558989629325,1.16594562938202,1.135052956849
cps_wage,CPS 2012 hourly wage,5,ASR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.916829243248794,37.5192323971553,32.5454382616677,58.7780056898294,0.0416880583222097,0.0414826984289968,1.16594562938202,1.135052956849
cps_wage,CPS 2012 hourly wage,5,CQR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.912722045384536,36.5791682240747,30.4290735866346,61.785092923665,0.0464113358661054,0.0408666187493582,1.16594562938202,1.135052956849
cps_wage,CPS 2012 hourly wage,5,Parametric-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.940548310914878,40.4402146138736,37.6257742364494,59.0753873545221,0.0316254235547798,0.0278262655303419,1.16594562938202,1.135052956849
cps_wage,CPS 2012 hourly wage,6,SR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.910463086559195,37.035346129719,30.3143623015274,65.9644813037578,0.0420987781086354,0.0474381353321696,1.15237171895189,1.17759278093807
cps_wage,CPS 2012 hourly wage,6,ASR-TI,9739,9739,9739,0.0137617939489364,0.913761793948936,0.911695245918472,37.4439617822951,30.5985111884144,66.8250311178757,0.0429202176814868,0.0453845364000411,1.15237171895189,1.17759278093807
