dataset,repetition,method,group,n,ks_to_marginal
cps_wage,8,ASR-TI,2,1948,0.0477093305710249
cps_wage,8,ASR-TI,3,1948,0.00909249902960074
cps_wage,8,ASR-TI,4,1948,0.030103567590498
cps_wage,8,ASR-TI,5,1947,0.098566156552481
cps_wage,8,CQR-TI,1,1948,0.0646033444144744
cps_wage,8,CQR-TI,2,1948,0.066541560182783
cps_wage,8,CQR-TI,3,1948,0.0265169907902202
cps_wage,8,CQR-TI,4,1948,0.0270469416029414
cps_wage,8,CQR-TI,5,1947,0.119918417169901
cps_wage,9,SR-TI,1,1948,0.0619628146787203
cps_wage,9,SR-TI,2,1948,0.031904736202145
cps_wage,9,SR-TI,3,1948,0.0168512129622153
cps_wage,9,SR-TI,4,1948,0.0258924774394025
cps_wage,9,SR-TI,5,1947,0.0722068905469213
cps_wage,9,ASR-TI,1,1948,0.0619628673891653
cps_wage,9,ASR-TI,2,1948,0.0327258068018823
cps_wage,9,ASR-TI,3,1948,0.0171592528020345
cps_wage,9,ASR-TI,4,1948,0.0262007281210013
cps_wage,9,ASR-TI,5,1947,0.0722225008521064
cps_wage,9,CQR-TI,1,1948,0.034402367921857
cps_wage,9,CQR-TI,2,1948,0.0375895049709112
cps_wage,9,CQR-TI,3,1948,0.0192430021086286
cps_wage,9,CQR-TI,4,1948,0.0189778158604885
cps_wage,9,CQR-TI,5,1947,0.0658851388470724
cps_wage,10,SR-TI,1,1948,0.0713066898199053
cps_wage,10,SR-TI,2,1948,0.0437945785409875
cps_wage,10,SR-TI,3,1948,0.0108225612511182
cps_wage,10,SR-TI,4,1948,0.0199427332642756
cps_wage,10,SR-TI,5,1947,0.0953425757942283
cps_wage,10,ASR-TI,1,1948,0.0711011717953579
cps_wage,10,ASR-TI,2,1948,0.0442001854142609
cps_wage,10,ASR-TI,3,1948,0.011232859353985
cps_wage,10,ASR-TI,4,1948,0.0204559748659732
cps_wage,10,ASR-TI,5,1947,0.0963683205099423
cps_wage,10,CQR-TI,1,1948,0.0946867766150322
cps_wage,10,CQR-TI,2,1948,0.0682874882482063
cps_wage,10,CQR-TI,3,1948,0.0381069634081983
cps_wage,10,CQR-TI,4,1948,0.0643499125955403
cps_wage,10,CQR-TI,5,1947,0.119302970340473
cps_wage,11,SR-TI,1,1948,0.0953459207281294
cps_wage,11,SR-TI,2,1948,0.0364790013183937
cps_wage,11,SR-TI,3,1948,0.0244978644890366
cps_wage,11,SR-TI,4,1948,0.0461352385558772
cps_wage,11,SR-TI,5,1947,0.100186885940826
cps_wage,11,ASR-TI,1,1948,0.0924697225933623
cps_wage,11,ASR-TI,2,1948,0.0368904063406026
cps_wage,11,ASR-TI,3,1948,0.0207978548113988
cps_wage,11,ASR-TI,4,1948,0.0473682412822722
cps_wage,11,ASR-TI,5,1947,0.100295894389535
cps_wage,11,CQR-TI,1,1948,0.079179521865663
cps_wage,11,CQR-TI,2,1948,0.0678827774524958
cps_wage,11,CQR-TI,3,1948,0.039545431448696
cps_wage,11,CQR-TI,4,1948,0.0592210808888162
cps_wage,11,CQR-TI,5,1947,0.124572133928191
cps_wage,12,SR-TI,1,1948,0.0666029151406115
cps_wage,12,SR-TI,2,1948,0.0193739875641301
cps_wage,12,SR-TI,3,1948,0.018531780076
cps_wage,12,SR-TI,4,1948,0.0178951960333071
cps_wage,12,SR-TI,5,1947,0.071875909886982
cps_wage,12,ASR-TI,1,1948,0.0651652377567868
cps_wage,12,ASR-TI,2,1948,0.0191814363090207
cps_wage,12,ASR-TI,3,1948,0.0190446527045834
cps_wage,12,ASR-TI,4,1948,0.0182889957669297
cps_wage,12,ASR-TI,5,1947,0.0715801051512267
cps_wage,12,CQR-TI,1,1948,0.086470746862727
cps_wage,12,CQR-TI,2,1948,0.0463173004324576
cps_wage,12,CQR-TI,3,1948,0.0273179260000173
cps_wage,12,CQR-TI,4,1948,0.0620007661990266
cps_wage,12,CQR-TI,5,1947,0.0783644703547384
cps_wage,13,SR-TI,1,1948,0.0730583633238194
cps_wage,13,SR-TI,2,1948,0.0367333292148905
cps_wage,13,SR-TI,3,1948,0.022744715092666
cps_wage,13,SR-TI,4,1948,0.03144109512907
cps_wage,13,SR-TI,5,1947,0.101751133447911
cps_wage,13,ASR-TI,1,1948,0.0712094917595654
cps_wage,13,ASR-TI,2,1948,0.0357089017188454
cps_wage,13,ASR-TI,3,1948,0.0217306188438153
cps_wage,13,ASR-TI,4,1948,0.031443098125975
cps_wage,13,ASR-TI,5,1947,0.103698677232312
cps_wage,13,CQR-TI,1,1948,0.0912934890160921
cps_wage,13,CQR-TI,2,1948,0.0540268882304534
cps_wage,13,CQR-TI,3,1948,0.0328329671363027
cps_wage,13,CQR-TI,4,1948,0.0577801354574096
cps_wage,13,CQR-TI,5,1947,0.0625374139725838
cps_wage,14,SR-TI,1,1948,0.0629075966925672
cps_wage,14,SR-TI,2,1948,0.0138524630431258
cps_wage,14,SR-TI,3,1948,0.0117484729257017
cps_wage,14,SR-TI,4,1948,0.0115944002953472
cps_wage,14,SR-TI,5,1947,0.0721013100368514
cps_wage,14,ASR-TI,1,1948,0.0625991878796338
cps_wage,14,ASR-TI,2,1948,0.0138517778073425
cps_wage,14,ASR-TI,3,1948,0.012056091081962
cps_wage,14,ASR-TI,4,1948,0.0111837332193663
cps_wage,14,ASR-TI,5,1947,0.0727169678163499
cps_wage,14,CQR-TI,1,1948,0.0661460210044798
cps_wage,14,CQR-TI,2,1948,0.0268039464520916
cps_wage,14,CQR-TI,3,1948,0.0314266524671756
cps_wage,14,CQR-TI,4,1948,0.0431990559348482
cps_wage,14,CQR-TI,5,1947,0.0623767227567082
cps_wage,15,SR-TI,1,1948,0.0732648301363746
cps_wage,15,SR-TI,2,1948,0.0355895125612153
cps_wage,15,SR-TI,3,1948,0.0157193088690806
cps_wage,15,SR-TI,4,1948,0.0296246931988556
cps_wage,15,SR-TI,5,1947,0.0743444476069376
cps_wage,15,ASR-TI,1,1948,0.0729494635447184
cps_wage,15,ASR-TI,2,1948,0.0348718598543125
cps_wage,15,ASR-TI,3,1948,0.0156169451851433
cps_wage,15,ASR-TI,4,1948,0.0310603148753303
cps_wage,15,ASR-TI,5,1947,0.0748441355854153
cps_wage,15,CQR-TI,1,1948,0.094475882125108
cps_wage,15,CQR-TI,2,1948,0.0721906439803723
cps_wage,15,CQR-TI,3,1948,0.0457061755346368
cps_wage,15,CQR-TI,4,1948,0.0638432070890067
cps_wage,15,CQR-TI,5,1947,0.140278368657714
cps_wage,16,SR-TI,1,1948,0.104992459243757
cps_wage,16,SR-TI,2,1948,0.036697538822824
cps_wage,16,SR-TI,3,1948,0.0238391420594982
cps_wage,16,SR-TI,4,1948,0.0428473191362319
cps_wage,16,SR-TI,5,1947,0.0875361575012289
cps_wage,16,ASR-TI,1,1948,0.104893416317846
cps_wage,16,ASR-TI,2,1948,0.0362875042721815
cps_wage,16,ASR-TI,3,1948,0.0239423491105535
cps_wage,16,ASR-TI,4,1948,0.0424400255287226
cps_wage,16,ASR-TI,5,1947,0.086710498926976
cps_wage,16,CQR-TI,1,1948,0.108345370641927
cps_wage,16,CQR-TI,2,1948,0.0662489117928657
cps_wage,16,CQR-TI,3,1948,0.0193202756208077
cps_wage,16,CQR-TI,4,1948,0.0432991003592111
cps_wage,16,CQR-TI,5,1947,0.128921607947924
cps_wage,17,SR-TI,1,1948,0.0843605896232532
cps_wage,17,SR-TI,2,1948,0.0476865596588412
cps_wage,17,SR-TI,3,1948,0.0186321407630322
cps_wage,17,SR-TI,4,1948,0.033422797014396
cps_wage,17,SR-TI,5,1947,0.103587137382763
cps_wage,17,ASR-TI,1,1948,0.0838480332573389
cps_wage,17,ASR-TI,2,1948,0.0459376798085051
cps_wage,17,ASR-TI,3,1948,0.0224285051338919
cps_wage,17,ASR-TI,4,1948,0.0339382524547782
cps_wage,17,ASR-TI,5,1947,0.10555303382326
cps_wage,17,CQR-TI,1,1948,0.0537121541641357
cps_wage,17,CQR-TI,2,1948,0.0359474691923263
cps_wage,17,CQR-TI,3,1948,0.024883968497708
cps_wage,17,CQR-TI,4,1948,0.0193661864182894
cps_wage,17,CQR-TI,5,1947,0.0932277486042621
cps_wage,18,SR-TI,1,1948,0.0798482065692816
cps_wage,18,SR-TI,2,1948,0.0285936768972018
cps_wage,18,SR-TI,3,1948,0.0250746221768022
cps_wage,18,SR-TI,4,1948,0.0272596809584361
cps_wage,18,SR-TI,5,1947,0.0952825077617759
cps_wage,18,ASR-TI,1,1948,0.079333805337797
cps_wage,18,ASR-TI,2,1948,0.0275665611684682
cps_wage,18,ASR-TI,3,1948,0.0252801402013497
cps_wage,18,ASR-TI,4,1948,0.0270534249876605
cps_wage,18,ASR-TI,5,1947,0.0957918994434769
cps_wage,18,CQR-TI,1,1948,0.0606883288322128
cps_wage,18,CQR-TI,2,1948,0.0819526183702647
cps_wage,18,CQR-TI,3,1948,0.0472467964172922
cps_wage,18,CQR-TI,4,1948,0.0387871389887986
cps_wage,18,CQR-TI,5,1947,0.128475448549726
cps_wage,19,SR-TI,1,1948,0.0797485838284777
cps_wage,19,SR-TI,2,1948,0.0258508888984002
cps_wage,19,SR-TI,3,1948,0.0169542091714909
cps_wage,19,SR-TI,4,1948,0.0279509257324591
cps_wage,19,SR-TI,5,1947,0.0669548666523959
cps_wage,19,ASR-TI,1,1948,0.0799515717516713
cps_wage,19,ASR-TI,2,1948,0.0266726447339208
cps_wage,19,ASR-TI,3,1948,0.0183990551758179
cps_wage,19,ASR-TI,4,1948,0.0276435184179782
cps_wage,19,ASR-TI,5,1947,0.0667792507190628
cps_wage,19,CQR-TI,1,1948,0.115113391763213
cps_wage,19,CQR-TI,2,1948,0.06849253187875
cps_wage,19,CQR-TI,3,1948,0.025777674090476
cps_wage,19,CQR-TI,4,1948,0.0663053119688764
