dataset,repetition,method,group_type,group,n,coverage,mean_width,lower_miss,upper_miss
cps_wage,1,SR-TI,predicted_scale_quintile,1,1948,0.873716632443532,22.9219030075925,0.074435318275154,0.0518480492813142
cps_wage,1,SR-TI,predicted_scale_quintile,2,1948,0.893223819301848,30.904048680558,0.0569815195071869,0.0497946611909651
cps_wage,1,SR-TI,predicted_scale_quintile,3,1948,0.914784394250513,35.4773031185651,0.0415811088295688,0.0436344969199179
cps_wage,1,SR-TI,predicted_scale_quintile,4,1948,0.938911704312115,38.199361005749,0.026694045174538,0.034394250513347
cps_wage,1,SR-TI,predicted_scale_quintile,5,1947,0.941448382126348,56.8210666225608,0.0303030303030303,0.0282485875706215
cps_wage,1,ASR-TI,predicted_scale_quintile,1,1948,0.874229979466119,22.8637856991283,0.0734086242299795,0.0523613963039014
cps_wage,1,ASR-TI,predicted_scale_quintile,2,1948,0.893737166324435,30.8087871839943,0.0554414784394251,0.0508213552361396
cps_wage,1,ASR-TI,predicted_scale_quintile,3,1948,0.914784394250513,35.3562729850249,0.0415811088295688,0.0436344969199179
cps_wage,1,ASR-TI,predicted_scale_quintile,4,1948,0.939425051334702,38.0565636477947,0.0261806981519507,0.034394250513347
cps_wage,1,ASR-TI,predicted_scale_quintile,5,1947,0.941448382126348,56.5544187140199,0.0297894196199281,0.0287621982537237
cps_wage,1,CQR-TI,predicted_scale_quintile,1,1948,0.915811088295688,27.9283157943875,0.0523613963039014,0.0318275154004107
cps_wage,1,CQR-TI,predicted_scale_quintile,2,1948,0.908624229979466,34.3132014185149,0.0451745379876797,0.0462012320328542
cps_wage,1,CQR-TI,predicted_scale_quintile,3,1948,0.913244353182752,35.7380799568342,0.040041067761807,0.0467145790554415
cps_wage,1,CQR-TI,predicted_scale_quintile,4,1948,0.92659137577002,36.0781796543863,0.0313141683778234,0.0420944558521561
cps_wage,1,CQR-TI,predicted_scale_quintile,5,1947,0.901386748844376,45.2721604534696,0.0457113507960966,0.0529019003595275
cps_wage,1,Parametric-TI,predicted_scale_quintile,1,1948,0.963552361396304,37.1813574390613,0.0256673511293634,0.0107802874743326
cps_wage,1,Parametric-TI,predicted_scale_quintile,2,1948,0.942505133470226,42.5027623685285,0.0313141683778234,0.0261806981519507
cps_wage,1,Parametric-TI,predicted_scale_quintile,3,1948,0.947125256673511,44.5511550857062,0.0302874743326489,0.0225872689938398
cps_wage,1,Parametric-TI,predicted_scale_quintile,4,1948,0.956365503080082,43.9773721614658,0.0205338809034908,0.0231006160164271
cps_wage,1,Parametric-TI,predicted_scale_quintile,5,1947,0.934771443246019,52.0434968986385,0.0338983050847458,0.0313302516692347
cps_wage,2,SR-TI,predicted_scale_quintile,1,1948,0.893737166324435,22.5409520588039,0.0497946611909651,0.0564681724845996
cps_wage,2,SR-TI,predicted_scale_quintile,2,1948,0.914271047227926,29.7128198016061,0.0431211498973306,0.0426078028747433
cps_wage,2,SR-TI,predicted_scale_quintile,3,1948,0.916324435318275,32.452485755483,0.0415811088295688,0.0420944558521561
cps_wage,2,SR-TI,predicted_scale_quintile,4,1948,0.924537987679672,42.1475769874398,0.0390143737166324,0.0364476386036961
cps_wage,2,SR-TI,predicted_scale_quintile,5,1947,0.948125321006677,58.0740791982202,0.022085259373395,0.0297894196199281
cps_wage,2,ASR-TI,predicted_scale_quintile,1,1948,0.893737166324435,22.8626348869893,0.0539014373716633,0.0523613963039014
cps_wage,2,ASR-TI,predicted_scale_quintile,2,1948,0.909650924024641,30.2026236168359,0.0503080082135524,0.040041067761807
cps_wage,2,ASR-TI,predicted_scale_quintile,3,1948,0.914271047227926,33.0227684641468,0.0456878850102669,0.040041067761807
cps_wage,2,ASR-TI,predicted_scale_quintile,4,1948,0.922484599589322,42.991577275684,0.0441478439425051,0.0333675564681725
cps_wage,2,ASR-TI,predicted_scale_quintile,5,1947,0.946070878274268,59.5317484533516,0.0261941448382126,0.0277349768875193
cps_wage,2,CQR-TI,predicted_scale_quintile,1,1948,0.913244353182752,24.5485087994996,0.0420944558521561,0.0446611909650924
cps_wage,2,CQR-TI,predicted_scale_quintile,2,1948,0.92659137577002,31.5664625409576,0.0385010266940452,0.0349075975359343
cps_wage,2,CQR-TI,predicted_scale_quintile,3,1948,0.915811088295688,33.374152692048,0.0395277207392197,0.0446611909650924
